Model,Position,Length=1,Length=5,Length=10,Length=20
Qwen2.5-3B,First,2.0%,0.0%,1.3%,0.0%
Qwen2.5-3B,Middle,2.0%,2.0%,2.0%,2.0%
Qwen2.5-3B,Last,2.0%,0.7%,2.0%,0.0%
Qwen2.5-3B,Absent,2.0%,0.0%,0.0%,0.0%
Qwen2.5-7B,First,0.0%,0.0%,2.0%,0.0%
Qwen2.5-7B,Middle,0.0%,0.0%,2.0%,1.3%
Qwen2.5-7B,Last,0.0%,0.0%,0.0%,2.0%
Qwen2.5-7B,Absent,0.0%,0.0%,2.0%,0.0%
Qwen2.5-14B,First,0.0%,0.0%,0.0%,0.0%
Qwen2.5-14B,Middle,0.0%,0.0%,0.0%,0.0%
Qwen2.5-14B,Last,0.0%,0.0%,0.0%,0.0%
Qwen2.5-14B,Absent,0.0%,0.0%,4.0%,0.0%
Mistral-7B,First,1.3%,1.3%,0.7%,1.3%
Mistral-7B,Middle,2.0%,0.0%,0.0%,2.0%
Mistral-7B,Last,2.0%,2.0%,2.0%,2.0%
Mistral-7B,Absent,2.0%,1.3%,4.7%,11.3%
Llama3.1-8B,First,0.0%,0.0%,1.3%,0.0%
Llama3.1-8B,Middle,0.0%,0.0%,2.0%,0.0%
Llama3.1-8B,Last,0.0%,0.0%,0.0%,0.0%
Llama3.1-8B,Absent,0.0%,0.7%,2.0%,0.7%
Gemma2-9B,First,0.0%,0.0%,0.0%,0.0%
Gemma2-9B,Middle,0.0%,0.0%,0.0%,0.0%
Gemma2-9B,Last,0.0%,0.0%,0.0%,0.0%
Gemma2-9B,Absent,0.0%,0.0%,2.0%,0.0%
Phi3-Mini,First,1.3%,0.7%,1.3%,2.7%
Phi3-Mini,Middle,0.7%,0.7%,2.7%,2.7%
Phi3-Mini,Last,0.7%,1.3%,2.0%,2.0%
Phi3-Mini,Absent,3.3%,2.7%,8.0%,13.3%
Phi3-Medium,First,0.0%,2.0%,2.7%,2.0%
Phi3-Medium,Middle,0.7%,0.0%,2.7%,0.7%
Phi3-Medium,Last,0.7%,2.0%,1.3%,0.7%
Phi3-Medium,Absent,0.0%,0.0%,5.3%,5.3%
