model,model_key,context_length,gold_position,valid_responses,correct_count,correct_rate,abstained_count,abstained_rate,hallucinated_count,hallucinated_rate,wrong_document_count,wrong_document_rate
Qwen2.5-3B,qwen2.5_3b,1,first,150,143,0.953333,4,0.026667,3,0.020000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,1,middle,150,142,0.946667,5,0.033333,3,0.020000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,1,last,150,143,0.953333,4,0.026667,3,0.020000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,1,absent,150,1,0.006667,146,0.973333,3,0.020000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,5,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,5,middle,150,147,0.980000,0,0.000000,3,0.020000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,5,last,150,146,0.973333,3,0.020000,1,0.006667,0,0.000000
Qwen2.5-3B,qwen2.5_3b,5,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,10,first,150,144,0.960000,3,0.020000,2,0.013333,1,0.006667
Qwen2.5-3B,qwen2.5_3b,10,middle,150,144,0.960000,0,0.000000,3,0.020000,3,0.020000
Qwen2.5-3B,qwen2.5_3b,10,last,150,141,0.940000,6,0.040000,3,0.020000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,10,absent,150,0,0.000000,147,0.980000,0,0.000000,3,0.020000
Qwen2.5-3B,qwen2.5_3b,20,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,20,middle,150,147,0.980000,0,0.000000,3,0.020000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,20,last,150,130,0.866667,20,0.133333,0,0.000000,0,0.000000
Qwen2.5-3B,qwen2.5_3b,20,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,1,first,150,143,0.953333,7,0.046667,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,1,middle,150,144,0.960000,6,0.040000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,1,last,150,144,0.960000,6,0.040000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,1,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,5,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,5,middle,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,5,last,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,5,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,10,first,150,141,0.940000,6,0.040000,3,0.020000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,10,middle,150,142,0.946667,5,0.033333,3,0.020000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,10,last,150,142,0.946667,8,0.053333,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,10,absent,150,0,0.000000,147,0.980000,3,0.020000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,20,first,150,147,0.980000,3,0.020000,0,0.000000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,20,middle,150,145,0.966667,3,0.020000,2,0.013333,0,0.000000
Qwen2.5-7B,qwen2.5_7b,20,last,150,143,0.953333,4,0.026667,3,0.020000,0,0.000000
Qwen2.5-7B,qwen2.5_7b,20,absent,150,0,0.000000,150,1.000000,0,0.000000,0,0.000000
Qwen2.5-14B,qwen2.5_14b,1,first,150,141,0.940000,9,0.060000,0,0.000000,0,0.000000
